Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Odoacer	LidlessEye	Odoacer	Minion Character		Man	Ranger	Woodmen-town	1	0		4	6			0									F1	Unique. +3 direct influence against the Woodmen faction.
Old Troll	LidlessEye	OldTroll	Minion Character		Troll	Warrior	Any Dark-hold	4	0		5	9			1									U	Discard on a body check result of 8. +1 direct influence against Trolls, Orcs, Troll factions, and Orc factions. -1 to all corruption checks.
Orc Brawler	LidlessEye	OrcBrawler	Minion Character		Orc	Warrior	Any Dark-hold	1	0		3	8			0									CB+CS1	Discard on a body check result of 7 or 8. -1 to all corruption checks.
Orc Captain	LidlessEye	OrcCaptain	Minion Character		Orc	Warrior	Any Dark-hold	5	0		5	8			2									U+F1	Leader. Discard on a body check result of 8. +3 direct influence against Orcs and Orc factions.
Orc Chieftain	LidlessEye	OrcChieftain	Minion Character		Orc	Warrior	Any Dark-hold	4	0		4	8			1									U+F1	Leader. Discard on a body check result of 8. +3 direct influence against Orcs and Orc factions.
Orc Sniffler	LidlessEye	OrcSniffler	Minion Character		Orc	Warrior/Scout	Any Dark-hold	2	0		2	8			0									CB+CS1	Discard on a body check result of 7 or 8. -1 to all corruption checks.
Orc Tracker	LidlessEye	OrcTracker	Minion Character		Orc	Warrior/Ranger	Any Dark-hold	3	0		3	8			1									CB+F5	Discard on a body check result of 7 or 8. -1 to all corruption checks.
Orc Veteran	LidlessEye	OrcVeteran	Minion Character		Orc	Warrior	Any Dark-hold	2	0		4	8			0									CB+F5	Discard on a body check result of 8. -1 to all corruption checks.
Ostisen	LidlessEye	Ostisen	Minion Character		Man	Scout	Vale of Erech	2	0		3	9			0									F1	Unique.
Pon Opar	LidlessEye	PonOpar	Minion Character		Man	Warrior/Ranger/Sage	Southron Oasis	6	1		5	8			2									F1	Unique. +2 direct influence against any faction playable at Southron Oasis.
Radbug	LidlessEye	Radbug	Minion Character		Orc	Warrior/Ranger	Any site in Imlad Morgul	4	0		5	8			1									U	Unique. Uruk-hai. Discard on a body check result of 8.
Ren the Ringwraith	LidlessEye	RentheRingwraith	Minion Character		Ringwraith	Sage/Diplomat	Any site in Gorgoroth		4		8	10												F1	Unique. Manifestation of Ren the Unclean. Can use sorcery and shadow-magic. -2 direct influence in Heralded Lord mode. +2 prowess in Fell Rider mode. As your Ringwraith, if at a Darkhaven, he may tap during your organization phase to modify all corru
Shagrat	LidlessEye	Shagrat	Minion Character		Orc	Warrior/Ranger	Cirith Ungol	6	0		6	9			2									F1	Unique. Uruk-hai. Leader. Discard on a body check result of 9. +4 direct influence against Orcs and Orc factions.
Shamas	LidlessEye	Shamas	Minion Character		Man	Warrior/Diplomat	Dunnish Clan-hold	3	1		2	8			1									R	Unique. +1 direct influence against Man factions. Additionally, +2 direct influence against the Dunlendings faction.
Snaga	LidlessEye	Snaga	Minion Character		Orc	Warrior	Any site in Imlad Morgul	4	0		5	9			1									R	Unique. Uruk-hai. Discard on a body check result of 9.
Tarcil	LidlessEye	Tarcil	Minion Character		Dunadan	Warrior/Ranger/Diplomat	Minas Morgul	6	2		4	8			2									R	Unique.
The Mouth	LidlessEye	TheMouth	Minion Character		Man	Warrior/Diplomat	Barad-dur	9	4		6	8			3									R	Unique. Manifestation of Mouth of Sauron. +2 direct influence against any faction. Tap during your organization phase to move one resource or character from your discard pile to your play deck and reshuffle. Return The Mouth to your hand when Mouth o
The Witch-king	LidlessEye	TheWitchking	Minion Character		Ringwraith	Warrior/Sage/Diplomat	Any site in Imlad Morgul		3		9	12												F2	Unique. Manifestation of The Witch-king of Angmar. Can use spirit-magic and shadow-magic. +3 direct influence in Heralded Lord mode. +1 prowess in Fell Rider mode. As your Ringwraith, up to two Ringwraith followers in his company may be controlled wi
Threlin	LidlessEye	Threlin	Minion Character		Dwarf	Warrior/Diplomat	Minas Morgul	5	2		4	7			2									R	Unique. Ironfist. +2 direct influence against Dwarves and Dwarf factions. +1 prowess agaiest Orcs and Elves.
Troll Lout	LidlessEye	TrollLout	Minion Character		Troll	Warrior	Any Dark-hold	3	0		4	9			1									CB+CS1	Discard on a body check result of 8. -1 to all corruption checks.
Troll-chief	LidlessEye	Trollchief	Minion Character		Troll	Warrior	Any Dark-hold	6	0		6	9			2									U+F1	Olog-hai. Leader. Discard on a body check result of 9. +3 direct influence against Trolls, Orcs, Troll factions, and Orc factions.
Tros Hesnef	LidlessEye	TrosHesnef	Minion Character		Man	Warrior	Easterling Camp	2	0		5	7			0									U	Unique. +1 direct influence against any faction playable at Easterling Camp. -1 to all corruption checks.
Uchel	LidlessEye	Uchel	Minion Character		Man	Ranger	Cameth Brin	1	0		2	7			0									U	Unique. +4 direct influence against the Hillmen faction.
Ufthak	LidlessEye	Ufthak	Minion Character		Orc	Warrior/Scout/Ranger	Any site in Imlad Morgul	4	0		4	8			1									R	Unique. Uruk-hai. Discard on a body check result of 8.
Ulkaur the Tongueless	LidlessEye	UlkaurtheTongueless	Minion Character		Troll	Warrior	Barad-dur	5	0		6	9			2									R	Unique. Olog-hai. Leader. Discard on a body check result of 9. +2 direct influence against Trolls, Orcs, Troll factions, and Orc factions. -1 to all corruption checks.
Uvatha the Ringwraith	LidlessEye	UvathatheRingwraith	Minion Character		Ringwraith	Warrior/Scout/Ranger	Any site in Khand		5		9	9												F1	Unique. Manifestation of Uvatha the Horseman. Can use spirit-magic. -3 direct influence in Heralded Lord mode. -1 prowess in Fell Rider mode. He may join another Ringwraith's company during your organization phase and requires no influence to control
A Little Gold Ring	LidlessEye	ALittleGoldRing	Minion Resource	Gold Ring Item											2				4					CB+CS1	May only be played at Bag End or a Ruins & Lairs [{R}] where gold rings are playable. Bearer must make a corruption check at the end of each of his untap phases. Discard this ring when tested. If tested, obtain a random value to determine which ring 
A Malady Without Healing	LidlessEye	AMaladyWithoutHealing	Minion Resource	Short-event													Shadow-magic							R	Magic. Shadow-magic. Playable during the site phase on a non-Ringwraith, non-Wizard character at the same site as a shadow-magic-using character. Target character must make a corruption check modified by -1 followed by a body check (modified by +1 if
A Nice Place to Hide	LidlessEye	ANicePlacetoHide	Minion Resource	Short-event																				CB+CS1	Scout only. Tap scout to cancel an attack against the his company.
Adunaphel Unleashed	LidlessEye	AdunaphelUnleashed	Minion Resource	Short-event																				R	Playable on any attack against Adunaphel the Ringwraith (as your Ringwraith) if she is the only character in her company. The number of strikes of the attack is reduced to one and the attack's body is modified by -2. Alternatively, playable on any at
Agburanar Roused	LidlessEye	AgburanarRoused	Minion Resource	Dragon Faction											4									R	Unique. Manifestation of Agburanar. Playable at Caves of Ulund if the influence check is greater than 12. Modifications: influencer discards a major item (+3) or a greater item (+6). All attacks by manifestations of Agburanar against any of your comp
Akhorahil Unleashed	LidlessEye	AkhorahilUnleashed	Minion Resource	Short-event																				R	Playable on Akhorahil the Ringwraith (as your Ringwraith). You may take a magic card from your play deck or discard pile to your hand (reshuffle play deck if searched).
All Thought Bent upon It	LidlessEye	AllThoughtBentuponIt	Minion Resource	Short-event																				U	Sage only. Playable during the site phase on an untapped sage at a site where Information is playable. Tap the sage and the site. Search your play deck and choose a item you must reveal to your opponent. Place the item in your hand and reshuffle your
An Untimely Whisper	LidlessEye	AnUntimelyWhisper	Minion Resource	Short-event																				U	Opponent reveals to you 5 random cards at once from his hand.
Awaiting the Call	LidlessEye	AwaitingtheCall	Minion Resource	Permanent-event																				U	Playable during the organization phase on a character with a mind of 6 or less at a non-Darkhaven. For the purposes of controlling this character, his mind is halved (round down). Discard this card when the character moves. Cannot be duplicated on a given character. May not be played by a lord player.
Back to the Fray	LidlessEye	BacktotheFray	Minion Resource	Short-event																				U	Each player may remove any number of characters from his discard pile and shuffle them into his play deck.
Bade to Rule	LidlessEye	BadetoRule	Minion Resource	Permanent-event																				CB+CS1	Playable at a Darkhaven during the organization phase on your Ringwraith. -2 to his direct influence. +5 general influence. You may discard this card during any of your organization phases. Discard this card if your Ringwraith moves. Alternatively, p
Balchoth	LidlessEye	Balchoth	Minion Resource	Man Faction											2									R	Unique. Playable at Raider-hold if the influence check is greater than 8. Standard Modifications: Easterlings (+2), Men of Dorwinion (-2).
Beornings *	LidlessEye	Beornings2	Minion Resource	Man Faction											3									R	Unique. Manifestation of hero Beornings. Playable at Beorn's House if the influence check is greater than 9.
Binding-ring	LidlessEye	Bindingring	Minion Resource	Minor Item															2					R	Mind Ring. -1 to mind to a minimum of 1, +1 to prowess. Cannot be duplicated on a given character.
Bitter Cold	LidlessEye	BitterCold	Minion Resource	Short-event													Sorcery							R	Magic. Sorcery. Playable on a sorcery-using character. All attacks against the character's company suffer a -1 modification to prowess and body this turn. Unless he is a Ringwraith, character makes a corruption check modified by -4.
Black Mace	LidlessEye	BlackMace	Minion Resource	Greater Item											2				3					U	Weapon.  Two-handed. Warrior only: +3 prowess to a maximum of 10 (+4 to a maximum of 10 against Elves).
Black Rain	LidlessEye	BlackRain	Minion Resource	Short-event																				R	Sage only. Playable on an untapped sage during the site phase at a Ruins & Lairs [{R}] in a Wilderness [{w}]. Opponent must reveal to you a non-Ringwraith, non-Wizard character from his hand if available; otherwise, he must reveal his entire hand. If
Black Rider	LidlessEye	BlackRider	Minion Resource	Permanent-event																				CB+CS1	Black Rider mode. Playable at a Darkhaven during the organization phase on your Ringwraith's own company. The company may move to a non-Darkhaven site. Discard this card and any other Ringwraith followers in the company during any of your following o
Black Trolls	LidlessEye	BlackTrolls	Minion Resource	Troll Faction											1									U	Unique. Playable at Cirith Gorgor or Barad-dur if the influence check is greater than 10. Once in play, the number required to influence this faction is 0. If this influence attempt is made by an Orc or Troll leader, you may place this faction under 
Black-hide Shield	LidlessEye	BlackhideShield	Minion Resource	Minor Item															1					CB+CS1	Shield. +1 to body to a maximum of 9.
Black-mail Coat	LidlessEye	BlackmailCoat	Minion Resource	Major Item											1				1					CB+CS1	Armor. Warrior only: +2 to body to a maximum of 9.
Blackbole	LidlessEye	Blackbole	Minion Resource	Ally				3			5	9			2									R	Unique. Ent. Playable at any site in Western Mirkwood, Heart of Mirkwood, or Southern Mirkwood (except Dol Guldur). May not face any strike at a site or from an automatic-attack. {cyan} UEP: Unique. Playable at any non-haven site in Western Mirkwood, Hear
Blazon of the Eye	LidlessEye	BlazonoftheEye	Minion Resource	Minor Item															1					CB+CS1	+2 to direct influence against factions. Cannot be duplicated on a given character.
Blow Turned	LidlessEye	BlowTurned	Minion Resource	Short-event																				CB+CS1	Warrior only. Warrior does not tap against one strike. If wounded by the strike, his body check is modified by -1.
Bold Thrust	LidlessEye	BoldThrust	Minion Resource	Short-event																				CB+CS1	Warrior only. Warrior receives +3 to prowess and -1 to body against one strike.
Bright Gold Ring	LidlessEye	BrightGoldRing	Minion Resource	Gold Ring Item											2				4					U	May only be played at a Free-hold [{F}] where gold rings are playable. Bearer must make a corruption check at the end of each of his untap phases. Discard Bright Gold Ring when tested. If tested, obtain a random value to determine which ring card may
Broad-headed Spear	LidlessEye	BroadheadedSpear	Minion Resource	Major Item											1				1					CB+CS1	Weapon. Warrior only: +2 to prowess to a maximum of 8.
Burning Rick, Cot, and Tree	LidlessEye	BurningRickCotandTree	Minion Resource	Permanent-event											2									U	Playable at an already tapped Border-hold [{B}] during the site phase. The company faces two attacks (Men - 4 strikes with 7 prowess, 1 strike with 9 prowess). If no characters are untapped after the attack, discard this card. Otherwise, you may tap 
By the Ringwraith's Word	LidlessEye	BytheRingwraithsWord	Minion Resource	Permanent-event																				CB	Playable during the organization phase on one of your other characters at the same Darkhaven as your Ringwraith. The character: becomes a leader (if not already),  receives +4 direct influence against characters in his company, and cannot be discarde
Catch an Elusive Scent	LidlessEye	CatchanElusiveScent	Minion Resource	Short-event																				U	Scout only. Playable during the site phase on an untapped scout. Tap the scout. Another character in his company may play any minor, major, or gold ring item normally playable at the site. This does not tap the site, and Catch an Elusive Scent can be
Come By Night Upon Them	LidlessEye	ComeByNightUponThem	Minion Resource	Short-event																				R	Playable on a Border-hold [{B}]. -1 to the prowess of all automatic-attacks at the site (-2 if Doors of Night is in play). The first item played at the site does not tap the site.
Crack in the Wall	LidlessEye	CrackintheWall	Minion Resource	Short-event																				U	Sage only. Playable during the organization phase on an untapped sage in a moving company. Tap the sage. Unless the site is in a Free-domain [{f}], no hazard creatures may be played at the company's new site.
Crooked Promptings	LidlessEye	CrookedPromptings	Minion Resource	Short-event																				CB	Diplomat only. +3 to any one influence check by a character in a diplomat's company or +2 to a corruption check by a character in his company.
Deeper Shadow	LidlessEye	DeeperShadow	Minion Resource	Short-event													Shadow-magic							U	Magic. Shadow-magic. Playable during the movement/hazard phase on a moving shadow-magic-using character. In character's site path, change a Ruins & Lairs [{R}] to a Shadow-hold [{S}] or one Wilderness [{w}] to a Shadow-land [{s}]. Alternatively, decr
Diversion	LidlessEye	Diversion	Minion Resource	Short-event																				CB	Playable on an unwounded character facing an attack. The attack is canceled and the character is wounded (no body check is required).
Down Down to Goblin-town	LidlessEye	DownDowntoGoblintown	Minion Resource	Short-event																				U	Playable during the organization phase on a moving company. If the company moves to a Ruins & Lairs [{R}], no hazard creatures may be played (by type or name) keyed to regions against his company.
Dunlendings *	LidlessEye	Dunlendings2	Minion Resource	Man Faction											4									R	Unique. Manifestation of hero Dunlendings. Playable at Dunnish Clan-hold if the influence check is greater than 9. Standard Modifications: Hillmen (+2).
Dwar Unleashed	LidlessEye	DwarUnleashed	Minion Resource	Short-event																				R	Playable during the organization phase on Dwar the Ringwraith's company (if Dwar is your Ringwraith). His own company may use region movement this turn. {cyan} UEP: Dwar doesn't have to be in a mode to use this card.
Dwarven Ring of Barin's Tribe *	LidlessEye	DwarvenRingofBarinsTribe2	Minion Resource	Special Item											4				3(5)					R	Unique. Dwarven Ring. Playable only with a Gold Ring and after a test indicates a Dwarven Ring. +2 (+7) direct influence. Values in parentheses apply to a Dwarf bearer. Tap a Dwarf bearer to search your play deck and/or discard pile for a major or go
Dwarven Ring of Bavor's Tribe *	LidlessEye	DwarvenRingofBavorsTribe2	Minion Resource	Special Item											4				3(5)					R	Unique. Dwarven Ring. Playable only with a Gold Ring and after a test indicates a Dwarven Ring. +2 (+7) direct influence. Values in parentheses apply to a Dwarf bearer. Tap a Dwarf bearer to search your play deck and/or discard pile for a greater ite
Dwarven Ring of Druin's Tribe *	LidlessEye	DwarvenRingofDruinsTribe2	Minion Resource	Special Item											4				3(5)					R	Unique. Dwarven Ring. Playable only with a Gold Ring and after a test indicates a Dwarven Ring. +2 (+7) direct influence. Values in parentheses apply to a Dwarf bearer. Tap a Dwarf bearer to search your play deck and/or discard pile for a greater ite
Dwarven Ring of Durin's Tribe *	LidlessEye	DwarvenRingofDurinsTribe2	Minion Resource	Special Item											4				3(5)					R	Unique. Dwarven Ring. Playable only with a Gold Ring and after a test indicates a Dwarven Ring. +2 (+7) direct influence. Values in parentheses apply to a Dwarf bearer. Tap a Dwarf bearer to untap the site where he currently is. Bearer then makes a c
Dwarven Ring of Dwalin's Tribe *	LidlessEye	DwarvenRingofDwalinsTribe2	Minion Resource	Special Item											4				3(5)					R	Unique. Dwarven Ring. Playable only with a Gold Ring and after a test indicates a Dwarven Ring. +2 (+7) direct influence. Values in parentheses apply to a Dwarf bearer. Tap a Dwarf bearer to search your play deck and/or discard pile for a major or go
Easterlings *	LidlessEye	Easterlings2	Minion Resource	Man Faction											2									F1	Unique. Manifestation of hero Easterlings. Playable at Easterling Camp if the influence check is greater than 8. Standard Modifications: Balchoth (+2), Wain-easterlings (+2), Men of Dorwinion (-2).
Fell Rider	LidlessEye	FellRider	Minion Resource	Permanent-event																				CB+CS1	Flying. Fell Rider mode. Playable at a Darkhaven during the organization phase on your Ringwraith's own company. +2 prowess, -3 direct influence to your Ringwraith. Discard all allies and Ringwraith followers in the company; none may join the company. Your R
Focus Palantir	LidlessEye	FocusPalantir	Minion Resource	Permanent-event																				U	Sage only. Playable on a Palantir with a sage in the company. The bearer of the Palantir now has the ability to use the Palantir. Discard Focus Palantir if the Palantir's company moves.
Forced March	LidlessEye	ForcedMarch	Minion Resource	Short-event																				CB+CS1	Playable at the end of the movement/hazard phase on a company that moved to a Darkhaven. The company may move to an additional site this turn. Another site card may be played and another movement/hazard phase immediately follows for that company.
Foul Trophies	LidlessEye	FoulTrophies	Minion Resource	Permanent-event																				R	Playable on an untapped Orc or Troll character in a company that has just defeated an attack by Elves, Dwarves, Dunedain, or Men. Tap the character. Discard this card to modify another attack by Elves, Dwarves, Dunedain, or Men against the character'
Foul-smelling Paste	LidlessEye	FoulsmellingPaste	Minion Resource	Minor Item															1					CB+CS1	Food. The bearer can discard this item to heal a wounded character in his company and change the character's status from wounded to well and untapped.
Freeze the Flesh	LidlessEye	FreezetheFlesh	Minion Resource	Permanent-event													Shadow-magic							R	Magic. Shadow-magic. Playable on a character that was eliminated by a body check this turn if a shadow-magic-using character is in his company. Return the character to the company and tap him. Target character has -2 mind to a minimum of 1, -1 prowes
Gifts as Given of Old	LidlessEye	GiftsasGivenofOld	Minion Resource	Short-event																				CB+CS1	Provides +3 to an influence attempt against a faction.
Gleaming Gold Ring	LidlessEye	GleamingGoldRing	Minion Resource	Gold Ring Item											2				4					CB+CS1	May only be played at a Border-hold [{B}] where gold rings are playable. Bearer must make a corruption check at the end of each of his untap phases. Discard this ring when tested. If tested, obtain a random value to determine which ring card may be i
Goblins of Goblin-gate	LidlessEye	GoblinsofGoblingate	Minion Resource	Orc Faction											2									F1	Unique. Playable at Goblin-gate if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. Standard Modifications: Grey Mountain Goblins (+2).
Gold Chains in the Wind	LidlessEye	GoldChainsintheWind	Minion Resource	Short-event													Shadow-magic							R	Magic. Shadow-magic. Playable on a shadow-magic-using character facing an attack before strikes are assigned. An ally with a prowess of 5 is created which leaves the  game when the attack is finished. In all cases, the ally must face one of the attac
Gold Ring that Sauron Fancies	LidlessEye	GoldRingthatSauronFancies	Minion Resource	Gold Ring Item											2				4					CB+CS1	May only be played at Bag End or a Ruins & Lairs [{R}] where gold rings are playable. Bearer must make a corruption check at the end of each of his untap phases. Discard this ring when tested. If tested, obtain a random value to determine which ring 
Grey Mountain Goblins	LidlessEye	GreyMountainGoblins	Minion Resource	Orc Faction											3									F1	Unique. Playable at Gondmaeglom if the influence check is greater than 8. Once in play, the number required to influence this faction is zero. Standard Modifications: Orcs of Gundabad (+2), Goblins of Goblin-gate (+2).
Half-trolls	LidlessEye	Halftrolls	Minion Resource	Troll Faction											1									U	Unique. Playable at Cirith Ungol or Barad-dur if the influence check is greater than 9. Once in play, the number required to influence this faction is 0. If this influence attempt is made by an Orc or Troll leader, you may place this faction under th
Heralded Lord	LidlessEye	HeraldedLord	Minion Resource	Permanent-event																				U	Heralded Lord mode. Playable on your Ringwraith's company at a Darkhaven during the organization phase. -2 prowess, +3 direct influence to entire company. His own company may move to a non-Darkhaven site. Discard this card and any other Ringwraith fo
Hidden Ways	LidlessEye	HiddenWays	Minion Resource	Short-event																				CB+CS1	Ranger only. Playable during the organization phase on an untapped ranger whose company is moving. Tap the ranger. No hazard creatures may be keyed by type to Wilderness [{w}] against the ranger's company this turn.
Hide in Dark Places	LidlessEye	HideinDarkPlaces	Minion Resource	Short-event																				U	Scout only. Playable during the organization phase on a scout whose company is not moving. All hazard creature attacks against the scout's company this turn are canceled.
High Helm	LidlessEye	HighHelm	Minion Resource	Major Item											2				2					U	Unique. Helmet. +2 to direct influence. +1 to body to a maximum of 9. Warrior only: +1 to prowess to a maximum of 8.
Hill Trolls	LidlessEye	HillTrolls	Minion Resource	Troll Faction											2									R	Unique. Playable at Ettenmoors if the influence check is greater than 9. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control of
Hillmen	LidlessEye	Hillmen2	Minion Resource	Man Faction											4									R	Unique. Manifestation of hero Hillmen. Playable at Cameth Brin if the influence check is greater than 10. Standard Modifications: Dunlendings (+2), Angmarim (+2).
Hoarmurath Unleashed	LidlessEye	HoarmurathUnleashed	Minion Resource	Short-event																				R	Playable on Hoarmuath the Ringwraith (as your Ringwraith). Cancel an attack against any one of your companies.
Honey on the Tongue	LidlessEye	HoneyontheTongue	Minion Resource	Short-event																				R	Diplomat only. +5 direct influence against characters by a character in a diplomat's company until the end of the turn. Cannot be duplicated on a given character.
I'll Be At Your Heels	LidlessEye	IllBeAtYourHeels	Minion Resource	Permanent-event																				CB+CS1	Command. Playable on a leader during the organization phase. Return all other command cards on target leader to your hand when this card is played. -2 to leader's direct  influence (to a minimum of 0) and +1 to all corruption checks by characters in 
I'll Report You	LidlessEye	IllReportYou	Minion Resource	Permanent-event																				CB+CS1	Command. Playable on a leader during the organization phase. Return all other command cards on target leader to your hand when this card is played. -2 to leader's direct influence (to a minimum of 0) and +1 prowess to all characters in his company. Y
Ice-orcs	LidlessEye	Iceorcs	Minion Resource	Orc Faction											4									R	Unique. Playable at any Ruins & Lairs [{R}] in Forochel or Withered Heath if the influence check is greater than 10. Once in play, the number required to influence this faction is zero. Standard Modifications: Wargs of the Forochel (+2).
In the Name of Mordor	LidlessEye	IntheNameofMordor	Minion Resource	Short-event																				U	Playable on an untapped character whose company is facing a detainment attack keyed to (by name or type) a Dark-hold [{D}], Dark-domain [{d}], Shadow-hold [{S}], or Shadow-land [{s}]. Tap the character and cancel the attack. Alternatively, this card 
Indur Unleashed	LidlessEye	IndurUnleashed	Minion Resource	Short-event																				R	Playable on any attack against Indur the Ringwraith's own company (if Indur is your Ringwraith). The attack is canceled. Alternatively, playable when Indur the Ringwraith's own company declares an attack (if Indur is your Ringwraith). The attack cann
Iron-road	LidlessEye	Ironroad	Minion Resource	Short-event																				U	Playable during the organization phase on a moving company at a Darkhaven. Opponent draws twice the normal number of cards for this company during the movement/ hazard phase. At the end of the turn, the company may replace its site card with the Dark
Khamul Unleashed	LidlessEye	KhamulUnleashed	Minion Resource	Short-event																				R	Playable on any attack against Khamul the Ringwraith's own company (if Khamul is your Ringwraith). The prowess of the attack is modified by -3. Alternatively, playable on any attack by Khamul the Ringwraith's own company (if Khamul is your Ringwraith
Kill All But NOT the Halflings	LidlessEye	KillAllButNOTtheHalflings	Minion Resource	Permanent-event											-5									R	Playable during the site phase on a company at Bag End. It faces a Hobbit attack (4 strikes with 6 prowess). If no characters are untapped after the attack, discard this card. Otherwise, you may tap one character in the company and put this card unde
Last Child of Ungoliant	LidlessEye	LastChildofUngoliant	Minion Resource	Ally		Sage		4			11	9			3									R	Unique. Playable at Shelob's Lair. Manifestation of Shelob. Tap this ally to either: cancel one hazard creature attack against a company moving to a site in Imlad Morgul, Ithilien, or Gorgoroth or to discard one hazard permanent-event on such a compa
Leg It Double Quick	LidlessEye	LegItDoubleQuick	Minion Resource	Short-event																				R	Playable at the end of the movement/hazard phase on a moving company. Tap all untapped characters in the company. The company may move to an additional site this turn. Another site card may be played and another movement/hazard phase immediately foll
Magic Ring of Delusion	LidlessEye	MagicRingofDelusion	Minion Resource	Special Item											2				2					U	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Bearer can use spirit-magic. If the bearer can already use spirit-magic: at the beginning of each of his end-of-turn phases, he may tap to take one spirit-magic card 
Magic Ring of Enigma	LidlessEye	MagicRingofEnigma	Minion Resource	Special Item											2				2					U+F1	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Gives the bearer sage skill. If the bearer is already a sage, he may tap to use a Palantir. Cannot be duplicated on a given character.
Magic Ring of Fury	LidlessEye	MagicRingofFury	Minion Resource	Special Item											2				2					U+F1	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Gives the bearer warrior skill. If the bearer is already a warrior, he gets +2 to prowess. Cannot be duplicated on a given character.
Magic Ring of Guile	LidlessEye	MagicRingofGuile	Minion Resource	Special Item											2				2					U+F1	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Gives the bearer scout skill. If the bearer is already a scout, he may tap this item to cancel a strike directed against him. Cannot be duplicated on a given characte
Magic Ring of Lies	LidlessEye	MagicRingofLies	Minion Resource	Special Item											2				2					U+F1	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Gives the bearer diplomat skill. If the bearer is already a diplomat, he gets +3 direct influence. Cannot be duplicated on a given character.
Magic Ring of Savagery	LidlessEye	MagicRingofSavagery	Minion Resource	Special Item											2				2					U+F1	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Gives the bearer ranger skill. If the bearer is already a ranger, he may tap to cancel an attack against his company. Cannot be duplicated on a given character.
Magic Ring of Shadows	LidlessEye	MagicRingofShadows	Minion Resource	Special Item											2				2					U	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Bearer can use shadow-magic. If the bearer can already use shadow-magic: at the  beginning of each of his end-of-turn phases, he may tap to take one shadow-magic card
Magic Ring of Weals	LidlessEye	MagicRingofWeals	Minion Resource	Special Item											2				2					U	Magic Ring. Playable only with a Gold Ring and after a test indicates a Magic Ring. Bearer can use sorcery. If the bearer can already use sorcery: at the beginning of each of his end-of-turn phases, he may tap to take one sorcery card from your disca
Men of Dorwinion *	LidlessEye	MenofDorwinion2	Minion Resource	Man Faction											3									F1	Unique. Manifestation of hero Men of Dorwinion. Playable at Shrel-Kain if the influence check is greater than 10. Standard Modifications: Easterlings (-2), Balchoth (-2).
Messenger of Mordor	LidlessEye	MessengerofMordor	Minion Resource	Short-event													Spirit-magic							R	Magic. Spirit-magic. Playable on a spirit-magic-using character at a Darkhaven, Shadow-hold [{S}], or Dark-hold [{D}]. Any items and resource events with his company that can be stored at a Darkhaven may now be so stored. Unless he is a Ringwraith, c
Minor Ring	LidlessEye	MinorRing	Minion Resource	Special Item											2				1					CB+CS1	Lesser Ring. Playable only with a Gold Ring and after a test indicates a Lesser Ring. +2 to direct influence. Cannot be duplicated on a given character.
Misty Mountain Wargs	LidlessEye	MistyMountainWargs	Minion Resource	Wolf Faction											2									U	Unique. Playable at Ettenmoors if the influence check is greater than 9. Once in play, the number required to influence this faction is zero. If this influence attempt is made by an Orc or Troll leader, you may place this faction under the control of
Morgul-blade	LidlessEye	Morgulblade	Minion Resource	Permanent-event																				R	Playable on your Ringwraith or a Ringwraith follower. Each strike against the Ringwraith receives -1 body and -1 prowess. Discard Morgul-blade after a strike against the Ringwraith fails. Cannot be duplicated on a given Ringwraith.
Motionless Among the Slain	LidlessEye	MotionlessAmongtheSlain	Minion Resource	Short-event																				R	Playable on an attack. You assign all strikes of the attack regardless of the attack's normal capabilities and character status. +1 to all body checks by your characters  resulting from the attack.
News Must Get Through	LidlessEye	NewsMustGetThrough	Minion Resource	Short-event																				CB+CS1	Playable on a company at a Darkhaven, Shadow-hold [{S}], or Dark-hold [{D}]. Any resource events with the company that can be stored at a Darkhaven may now be so stored.
News of the Shire	LidlessEye	NewsoftheShire	Minion Resource	Permanent-event											-3									R	Stolen Knowledge. Playable during the site phase on an untapped character at Bag End. Tap the character. No marshalling points are received until this card is stored at Barad-dur during his  organization phase. Only the first News of the Shire stored is worth 3 marsha
No More Nonsense	LidlessEye	NoMoreNonsense	Minion Resource	Permanent-event																				R	Playable on a leader during the organization phase. Make a roll (draw a #) for the leader. Choose another character in the company and do the same. If the leader's result plus his prowess is greater than the other character's result plus his prowess,
No News of Our Riding	LidlessEye	NoNewsofOurRiding	Minion Resource	Permanent-event											1									R	Playable on an untapped character immediately after his company faces an Elf, Dunedain, or Man hazard creature. Tap the character. The character can later tap to cancel  an Elf, Dunedain, or Man hazard creature attack against his company. Cannot be d
